ID,Item title,Final URL,Image URL,Price,Sale price
SX7622_013_S_CNF,U nk elite crew,http://ballzy.eu/lv/product/u-nk-elite-crew-132-sx7622-013-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_SX7622_013_S_CNF_8021ff2b_sq.jpg,14€,
SX7622_100_S_CNF,U nk elite crew 132,http://ballzy.eu/lv/product/u-nk-elite-crew-132-sx7622-100-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_SX7622_100_S_CNF_d793ec6d_sq.jpg,17€,
SX5544_100_S_CNF,U j everyday max ankl 3pr,http://ballzy.eu/lv/product/u-j-everyday-max-ankl-3pr-sx5544-100-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_SX5544_100_S_CNF_8615f036_sq.jpg,19€,
300207401_S_CNF,Spalding parka,http://ballzy.eu/lv/product/spalding-parka-300207401-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_300207401_S_CNF_3de995f1_sq.jpg,140€,
SX5544_011_S_CNF,Jumpman qtr 3ppk,http://ballzy.eu/lv/product/jumpman-qtr-3ppk-sx5544-011-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_SX5544_011_S_CNF_c2e40866_sq.jpg,12€,12€
SX5546_011_S_CNF,Jumpman no-show 3ppk,http://ballzy.eu/lv/product/jumpman-no-show-3ppk-sx5546-011-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_SX5546_011_S_CNF_21853f2e_sq.jpg,12€,12€
SX5546_100_S_CNF,U j everyday max ns 3pr,http://ballzy.eu/lv/product/u-j-everyday-max-ns-3pr-sx5546-100-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_SX5546_100_S_CNF_f36e122c_sq.jpg,13€,13€
921826_001_8.5_CNF,Nike air max 97,http://ballzy.eu/lv/product/nike-air-max-97-921826-001-8-5-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_921826_001_8.5_CNF_639dc240_sq.jpg,199€,
AV3042_100_8_CNF,Air force 1 flyknit 2.0,http://ballzy.eu/lv/product/air-force-1-flyknit-2-0-av3042-100-8-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_AV3042_100_8_CNF_7b1b7420_sq.jpg,129€,
B75806_8_CNF,Samba og,http://ballzy.eu/lv/product/samba-og-b75806-8-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_B75806_8_CNF_549ae4f8_sq.jpg,119€,
B75807_8_CNF,Samba og,http://ballzy.eu/lv/product/samba-og-b75807-8-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_B75807_8_CNF_c5d80db2_sq.jpg,119€,
SX7667_100_S_CNF,U nk everyday cush ankle 3pr,http://ballzy.eu/lv/product/u-nk-everyday-cush-ankle-3pr-sx7667-100-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_SX7667_100_S_CNF_80f6fa01_sq.jpg,19€,
SX5854_010_S_CNF,U j flight crew,http://ballzy.eu/lv/product/u-j-flight-crew-sx5854-010-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_SX5854_010_S_CNF_05753e35_sq.jpg,12€,12€
SK0110_101_S_CNF,U nk nsw evry essential ankle,http://ballzy.eu/lv/product/u-nk-nsw-evry-essential-ankle-sk0110-101-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_SK0110_101_S_CNF_c0f5f545_sq.jpg,12€,12€
AT3383_010_S_CNF,M np dry tght 3qt bball,http://ballzy.eu/lv/product/m-np-dry-tght-3qt-bball-at3383-010-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_AT3383_010_S_CNF_978c9d45_sq.jpg,29€,29€
SX7666_100_M_CNF,U nk everyday cush crew 6 pairs,http://ballzy.eu/lv/product/u-nk-everyday-cush-crew-6-pairs-sx7666-100-m-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_SX7666_100_M_CNF_9b9ef0ab_sq.jpg,29€,
SX5544_010_S_CNF,U j everyday max ankl 3pr,http://ballzy.eu/lv/product/u-j-everyday-max-ankl-3pr-sx5544-010-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_SX5544_010_S_CNF_114019dd_sq.jpg,17€,
S20274_3942_CNF,Trefoil liner socks 3 pairs,http://ballzy.eu/lv/product/trefoil-liner-socks-3-pairs-s20274-3942-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_S20274_3942_CNF_f3260f69_sq.jpg,10€,10€
12122741_OSFM_CNF,Essential 940 wmns new york yankees,http://ballzy.eu/lv/product/essential-940-wmns-new-york-yankees-12122741-osfm-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_12122741_OSFM_CNF_248d3ffc_sq.jpg,19€,19€
162050C_001_10_CNF,Chuck 70 hi,http://ballzy.eu/lv/product/chuck-70-hi-162050c-001-10-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_162050C_001_10_CNF_97021c3f_sq.jpg,94€,
162058C_001_10_CNF,Chuck 70 ox,http://ballzy.eu/lv/product/chuck-70-ox-162058c-001-10-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_162058C_001_10_CNF_8f046eb0_sq.jpg,69€,69€
SX7676_010_S_CNF,U nk everyday ltwt crew 3pr,http://ballzy.eu/lv/product/u-nk-everyday-ltwt-crew-3pr-sx7676-010-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_SX7676_010_S_CNF_cbc1c2af_sq.jpg,19€,
SX7676_100_S_CNF,U nk everyday ltwt crew 3pr,http://ballzy.eu/lv/product/u-nk-everyday-ltwt-crew-3pr-sx7676-100-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_SX7676_100_S_CNF_efd8bd5e_sq.jpg,19€,
SX7677_100_S_CNF,U nk everyday ltwt ankle 3pr,http://ballzy.eu/lv/product/u-nk-ed-ltwt-ankle-3p-132-sx7677-100-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_SX7677_100_S_CNF_998f6321_sq.jpg,19€,
CU4495_010_S_CNF,M nsw tch flc jggr,http://ballzy.eu/lv/product/m-nsw-tch-flc-jggr-cu4495-010-s-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_CU4495_010_S_CNF_49ecd8b8_sq.jpg,89€,
CP003_CNF,Crep protect - wipes 12 sachets,http://ballzy.eu/lv/product/crep-protect-wipes-12-sachets-cp003-cnf,https://tanelneemoja.github.io/feed-creek/generated_ads/ad_CP003_CNF_af7056a9_sq.jpg,9€,
